Tiempo	a9	a10	a11	a12
9	0.0	10365.916589437407	5261.064752997784	3239.178942718264
24	95.37709332563449	697.920621464448	369.14387830376626	235722.53382634145
40	13962.709090339951	44.739591895281336	106851.21720778174	130.20252903213725
55	48791.19509035749	97.45668460878544	299.3624723850191	43.2127313525835
70	795.0731226282287	4272.139394247346	5342.098389848135	9324.916964781405
85	3124.7102629702817	10428.48263376901	9020.112402483845	9546.37096139878
100	3131.655479006097	7949.673506513983	5024.4728723705375	8259.842913463643
115	3213.642322416371	11859.628680094349	14165.021140975063	7725.7427227537155
130	1512.5631099341203	10048.682187233353	8775.558215773897	12490.369643844013
146	3253.724457463883	10862.29171239233	9857.705735496338	9039.457562143876
161	1620.5160922333225	11526.624571899358	12129.868640937657	10634.319833643212
176	1537.1679305056016	8295.238305111463	8517.884585421183	8575.593139335328
