"G1","G2","G5","G10","G20","G50"
30.09,5052.91,256.71,101.76,116.32,104.19
72.82,81.14,190.71,-54.98,548.22,71.94
-16.06,-46.98,-9.42,59.47,0.29,-6.08
192.53,162.7,54.45,9019.4,65.25,5.98
31.39,36.84,888.63,182.39,-36.19,22.65
410.96,286.59,712.07,51841.15,126037.7,61500.53
44.19,6.4,182.9,225.73,27.47,-15.86
26.12,-23.46,-5.47,-3.24,5.56,-5.56
15.5,-3.16,2.59,5.61,1.41,3.33
-20,-5.42,41.17,491.76,199.4,105.51
147.1,61.24,20.2,351.03,977.24,35008.06
328.51,13.84,268.81,98100.06,553.4,10.15
-58.46,-87.47,7.16,-99.95,-31.38,98.96
16.14,-89.78,230.41,817.85,516.87,402
157.94,-61.08,753.21,919.03,275.23,347.09
-0.19,-14.32,43.01,-20.76,-83.08,-21.29
152312.57,-1.42,22516292.1,190130.98,236688.94,1464384.92
17.8,27.42,245.09,61.86,11129.85,1306.61
5970.69,14576.01,31160.91,155643.31,238550.51,445610.53
191086.87,2634798.48,16175137.59,141422.51,210337.73,23254.49
-6.91,-21.9,379.05,28.6,22.79,49.07
14.18,-10.06,87.07,-86.93,59.76,-38.08
