"G1","G2","G5","G10","G20","G50"
1.33,-0.64,-0.04,1.43,0.13,0.36
0.44,0.15,0.33,-0.72,2.37,0.55
1.47,-0.34,-0.73,-0.35,0.73,3.57
2.5,1.46,-0.54,0.49,0.98,0.85
-0.66,-0.6,-0.5,-0.7,0.24,2.64
0.92,1.16,2.02,5.74,36.1,9.88
-0.01,-0.08,-0.31,-0.32,-0.19,1.09
0.04,0.01,0.02,0,-0.08,26.82
-0.21,-0.13,-0.06,0.05,0,47.9
-0.57,-0.73,-0.2,-0.14,0.05,13.85
0.28,0.18,-0.85,-0.37,-0.7,1.62
1.13,0.59,5.43,15.32,-0.16,0.5
-0.64,-0.98,-0.1,-1,-1,-0.13
-0.67,-0.9,-0.19,-0.71,0.25,1.62
0.56,7.84,-0.18,-0.05,-0.17,7.22
0.15,0.03,-0.25,0.13,-1,15.78
8.66,0.06,75.46,7.34,18.22,74.29
0.21,0.72,1.91,1.76,5.31,0.18
44.91,97.44,841.05,1773.54,3776.47,20404.28
3.14,4.77,66.72,4.13,15.98,1.28
-0.09,0.18,0.11,-0.17,-0.21,-0.08
-0.18,0.45,-0.83,-0.08,-0.51,4.28
