"G1","G2","G5","G10","G20","G50"
38.39,39.83,42.56,20.05,12.77,7.62
-3.98,34.51,-0.7,-14.47,63.36,96.21
-10.63,20.67,6.27,59.51,39.95,59.53
61.8,73.55,-73.27,42.3,58.01,42.7
-0.14,22.74,30.41,37.32,72.95,15
51.88,64.94,24.87,95.63,96.93,97.4
-1.13,2.65,-5.51,39.42,41.15,50.43
0.54,1.95,-8.45,7.6,-4.28,42.64
-0.39,-0.01,-11.52,-22.81,0.1,10.09
-11.2,12.98,-2.04,57.2,60.11,47.66
-4.68,35.23,-81.18,31.54,63.82,88.85
53.26,60.43,36.18,94.94,80.14,51.58
-30.4,-131.53,0.19,-45.55,-102.03,-1.43
15.89,17.3,25.12,71.68,75.02,77.41
36.33,37.05,26.12,67.46,74.69,75.63
7,6.76,9.27,2.32,-7.8,-3.27
96.54,99.42,99.89,98.1,99.54,99.86
17.46,14.83,16.2,50.63,66.83,75.77
92.49,94.93,93.16,98.81,99.29,99.61
96.41,99.18,99.47,95.99,97.46,95.32
11.22,9.04,7.94,20.36,12.27,16.02
-9.07,21.05,-27.1,5.09,34.5,59.96
