Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
1	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
1	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
1	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
1	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
1	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
1	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
1	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
1	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
1	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
1	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
2	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
2	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
2	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
2	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
2	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
2	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
2	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
2	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
2	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
2	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
3	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
3	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
3	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
3	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
3	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
3	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
3	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
3	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
3	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
3	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
4	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
4	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
4	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
4	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
4	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
4	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
4	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
4	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
4	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
4	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
5	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
5	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
5	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
5	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
5	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
5	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
5	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
5	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
5	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
5	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
6	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
6	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
6	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
6	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
6	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
6	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
6	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
6	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
6	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
6	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
7	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
7	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
7	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
7	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
7	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
7	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
7	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
7	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
7	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
7	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
8	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
8	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
8	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
8	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
8	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
8	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
8	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
8	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
