Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
1	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
1	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
1	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
1	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
1	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
1	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
1	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
1	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
1	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
1	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
1	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
1	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
2	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
2	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
2	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
2	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
2	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
2	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
2	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
2	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
2	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
2	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
2	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
2	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
2	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
