 table_name | shardid |   shard_name    | citus_table_type | colocation_id | nodename  | nodeport | shard_size 
------------+---------+-----------------+------------------+---------------+-----------+----------+------------
 customer   |  102072 | customer_102072 | distributed      |             1 | localhost |     5432 |     950272
 customer   |  102073 | customer_102073 | distributed      |             1 | localhost |     5432 |     942080
 customer   |  102074 | customer_102074 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102075 | customer_102075 | distributed      |             1 | localhost |     5432 |     991232
 customer   |  102076 | customer_102076 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102077 | customer_102077 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102078 | customer_102078 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102079 | customer_102079 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102080 | customer_102080 | distributed      |             1 | localhost |     5432 |     950272
 customer   |  102081 | customer_102081 | distributed      |             1 | localhost |     5432 |     974848
 customer   |  102082 | customer_102082 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102083 | customer_102083 | distributed      |             1 | localhost |     5432 |     950272
 customer   |  102084 | customer_102084 | distributed      |             1 | localhost |     5432 |     950272
 customer   |  102085 | customer_102085 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102086 | customer_102086 | distributed      |             1 | localhost |     5432 |     950272
 customer   |  102087 | customer_102087 | distributed      |             1 | localhost |     5432 |     974848
 customer   |  102088 | customer_102088 | distributed      |             1 | localhost |     5432 |     950272
 customer   |  102089 | customer_102089 | distributed      |             1 | localhost |     5432 |     942080
 customer   |  102090 | customer_102090 | distributed      |             1 | localhost |     5432 |     942080
 customer   |  102091 | customer_102091 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102092 | customer_102092 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102093 | customer_102093 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102094 | customer_102094 | distributed      |             1 | localhost |     5432 |     974848
 customer   |  102095 | customer_102095 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102096 | customer_102096 | distributed      |             1 | localhost |     5432 |     925696
 customer   |  102097 | customer_102097 | distributed      |             1 | localhost |     5432 |     966656
 customer   |  102098 | customer_102098 | distributed      |             1 | localhost |     5432 |     966656
 customer   |  102099 | customer_102099 | distributed      |             1 | localhost |     5432 |     942080
 customer   |  102100 | customer_102100 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102101 | customer_102101 | distributed      |             1 | localhost |     5432 |     942080
 customer   |  102102 | customer_102102 | distributed      |             1 | localhost |     5432 |     958464
 customer   |  102103 | customer_102103 | distributed      |             1 | localhost |     5432 |     966656
 lineitem   |  102008 | lineitem_102008 | distributed      |             1 | localhost |     5432 |   29130752
 lineitem   |  102009 | lineitem_102009 | distributed      |             1 | localhost |     5432 |   29016064
 lineitem   |  102010 | lineitem_102010 | distributed      |             1 | localhost |     5432 |   28852224
 lineitem   |  102011 | lineitem_102011 | distributed      |             1 | localhost |     5432 |   28950528
 lineitem   |  102012 | lineitem_102012 | distributed      |             1 | localhost |     5432 |   28852224
 lineitem   |  102013 | lineitem_102013 | distributed      |             1 | localhost |     5432 |   29229056
 lineitem   |  102014 | lineitem_102014 | distributed      |             1 | localhost |     5432 |   29278208
 lineitem   |  102015 | lineitem_102015 | distributed      |             1 | localhost |     5432 |   29327360
 lineitem   |  102016 | lineitem_102016 | distributed      |             1 | localhost |     5432 |   29065216
 lineitem   |  102017 | lineitem_102017 | distributed      |             1 | localhost |     5432 |   29147136
 lineitem   |  102018 | lineitem_102018 | distributed      |             1 | localhost |     5432 |   28688384
 lineitem   |  102019 | lineitem_102019 | distributed      |             1 | localhost |     5432 |   29065216
 lineitem   |  102020 | lineitem_102020 | distributed      |             1 | localhost |     5432 |   29048832
 lineitem   |  102021 | lineitem_102021 | distributed      |             1 | localhost |     5432 |   29310976
 lineitem   |  102022 | lineitem_102022 | distributed      |             1 | localhost |     5432 |   28901376
 lineitem   |  102023 | lineitem_102023 | distributed      |             1 | localhost |     5432 |   28884992
 lineitem   |  102024 | lineitem_102024 | distributed      |             1 | localhost |     5432 |   29376512
