Consulta	Iteracion	Tiempo	Manager	Worker1	Worker2
1	1	26328.220	612768.1901285026	4030544.342522746	3875844.028679828
1	2	27443.921	599699.6742252884	3944584.866023446	3793183.8479733863
1	3	30646.508	592439.3876123917	3896829.6013016123	3747261.5253586965
1	4	27011.515	583727.0436769157	3839523.283635412	3692154.7382210684
1	5	27733.527	617124.3620962406	4059197.5013558464	3903397.422248642
1	6	27864.302	583727.0436769157	3839523.283635412	3692154.7382210684
1	7	24989.362	592439.3876123917	3896829.6013016123	3747261.5253586965
1	8	28849.280	606959.9608381852	3992340.130745279	3839106.170588076
1	9	24269.986	614220.2474510819	4040095.395467113	3885028.493202766
1	10	22308.619	617124.3620962406	4059197.5013558464	3903397.422248642
1	11	25984.687	625836.7060317167	4116503.8190220464	3958504.20938627
1	12	26457.922	605507.9035156058	3982789.077800913	3829921.7060651383
1	13	24004.003	605507.9035156058	3982789.077800913	3829921.7060651383
1	14	30728.337	601151.7315478678	3954135.9189678123	3802368.312496324
1	15	25775.335	589535.2729672331	3877727.4954128787	3728892.5963128204
1	16	25763.523	601151.7315478678	3954135.9189678123	3802368.312496324
1	17	22469.344	590987.3302898124	3887278.5483572455	3738077.060835758
1	18	24923.942	615672.3047736613	4049646.4484114796	3894212.957725704
1	19	24370.369	624384.6487091373	4106952.7660776796	3949319.7448633322
1	20	23056.643	620028.4767413993	4078299.6072445796	3921766.351294518
1	21	26172.517	611316.1328059232	4020993.2895783796	3866659.56415689
1	22	24259.723	617124.3620962406	4059197.5013558464	3903397.422248642
1	23	22411.119	605507.9035156058	3982789.077800913	3829921.7060651383
1	24	22357.586	614220.2474510819	4040095.395467113	3885028.493202766
1	25	31533.260	625836.7060317167	4116503.8190220464	3958504.20938627
1	26	22331.068	614220.2474510819	4040095.395467113	3885028.493202766
1	27	27157.108	640357.2792575101	4212014.348465714	4050348.8546156497
1	28	27290.130	625836.7060317167	4116503.8190220464	3958504.20938627
1	29	26999.258	656329.909805883	4317075.930853747	4151377.9643679676
1	30	26302.682	620028.4767413993	4078299.6072445796	3921766.351294518
2	1	3229.711	612768.1901285026	4030544.342522746	3875844.028679828
2	2	2791.017	599699.6742252884	3944584.866023446	3793183.8479733863
2	3	1388.492	592439.3876123917	3896829.6013016123	3747261.5253586965
2	4	1523.438	583727.0436769157	3839523.283635412	3692154.7382210684
2	5	1708.886	617124.3620962406	4059197.5013558464	3903397.422248642
2	6	1582.674	583727.0436769157	3839523.283635412	3692154.7382210684
2	7	1674.940	592439.3876123917	3896829.6013016123	3747261.5253586965
2	8	1807.986	606959.9608381852	3992340.130745279	3839106.170588076
2	9	1694.432	614220.2474510819	4040095.395467113	3885028.493202766
2	10	1590.121	617124.3620962406	4059197.5013558464	3903397.422248642
2	11	1638.592	625836.7060317167	4116503.8190220464	3958504.20938627
2	12	1642.654	605507.9035156058	3982789.077800913	3829921.7060651383
2	13	1632.416	605507.9035156058	3982789.077800913	3829921.7060651383
2	14	1641.633	601151.7315478678	3954135.9189678123	3802368.312496324
2	15	1649.723	589535.2729672331	3877727.4954128787	3728892.5963128204
2	16	1671.591	601151.7315478678	3954135.9189678123	3802368.312496324
2	17	1611.782	590987.3302898124	3887278.5483572455	3738077.060835758
2	18	1700.926	615672.3047736613	4049646.4484114796	3894212.957725704
2	19	1641.552	624384.6487091373	4106952.7660776796	3949319.7448633322
2	20	1619.096	620028.4767413993	4078299.6072445796	3921766.351294518
2	21	1652.107	611316.1328059232	4020993.2895783796	3866659.56415689
2	22	1632.551	617124.3620962406	4059197.5013558464	3903397.422248642
2	23	1624.038	605507.9035156058	3982789.077800913	3829921.7060651383
2	24	1655.591	614220.2474510819	4040095.395467113	3885028.493202766
2	25	1639.369	625836.7060317167	4116503.8190220464	3958504.20938627
2	26	1616.533	614220.2474510819	4040095.395467113	3885028.493202766
2	27	1680.778	640357.2792575101	4212014.348465714	4050348.8546156497
2	28	1591.363	625836.7060317167	4116503.8190220464	3958504.20938627
2	29	1621.437	656329.909805883	4317075.930853747	4151377.9643679676
2	30	1649.397	620028.4767413993	4078299.6072445796	3921766.351294518
3	1	24559.112	612768.1901285026	4030544.342522746	3875844.028679828
3	2	24663.997	599699.6742252884	3944584.866023446	3793183.8479733863
3	3	24760.939	592439.3876123917	3896829.6013016123	3747261.5253586965
3	4	23249.919	583727.0436769157	3839523.283635412	3692154.7382210684
3	5	24328.445	617124.3620962406	4059197.5013558464	3903397.422248642
3	6	24611.158	583727.0436769157	3839523.283635412	3692154.7382210684
3	7	23661.721	592439.3876123917	3896829.6013016123	3747261.5253586965
3	8	23997.689	606959.9608381852	3992340.130745279	3839106.170588076
