"query","mean_total_ms","mean_prop_w1","mean_prop_w2","mean_prop_coord","sd_total_ms","sd_prop_w1","sd_prop_w2","sd_prop_coord"
"Q1",34408.4055,0.87586,0,0.12414,26311.8626304754,0.153592651733951,0,0.153592651733951
"Q2",2239.6681,0.74718,0,0.25282,779.408369972229,0.112270247369659,0,0.112270247369659
"Q3",32271.5585,0,0,1,582.918310805449,0,0,0
"Q4",22356.1953,0.55136,0,0.44864,1741.95411561786,0.136039064650971,0,0.136039064650971
"Q5",43918.4804,0,0,1,2250.10386183711,0,0,0
"Q6",13330.3006,0.63169,0,0.36831,2007.61056874297,0.20057122010232,0,0.20057122010232
"Q7",42561.8014,0,0,1,1433.59778936556,0,0,0
"Q8",183567.9791,0,0,1,15297.472287895,0,0,0
"Q9",793815.9167,0,0,1,31590.7909724495,0,0,0
"Q10",44795.7847,0,0,1,1315.29796000121,0,0,0
"Q11",2044.9551,0.38976,0,0.61024,667.973589258579,0.119151576666959,0,0.119151576666959
"Q12",15996.0088,0.34556,0,0.65444,345.765791769452,0.0095227447023779,0,0.00952274470237792
"Q13",3864.6043,0.88692,0,0.11308,837.184617936284,0.0890510939479877,0,0.0890510939479877
"Q14",24820.6534,0,0,1,1553.73666354832,0,0,0
"Q15",34534.1146,0.15843,0,0.84157,2540.83079234154,0.0690560971642299,0,0.0690560971642299
"Q16",15565.8098,0.06418,0,0.93582,1523.75979482236,0.00590419812976797,0,0.00590419812976796
"Q17",1245036.4503,0.99971,0,0.00029,1482740.11845403,0.000119721899973773,0,0.000119721899973786
"Q18",3633.8028,0.41416,0,0.58584,380.116167133096,0.0881651505855787,0,0.0881651505855787
"Q19",33951.7138,0,0,1,3049.33686339866,0,0,0
"Q20",1057324.9567,0.99619,0,0.00439,5983.26509472489,0.00644816080582501,0,0.0058714847639531
"Q21",21505.5496,0.65015,0,0.34985,1550.27985862139,0.146454962739783,0,0.146454962739783
"Q22",2359.8061,0.49968,0,0.50032,1753.11504298336,0.184338154246784,0,0.184338154246784
