query,total_ms,prop_w1,prop_w2,prop_coord
Q1,22358.055,0.9320,0.0000,0.0680
Q1,23256.925,0.9159,0.0000,0.0841
Q1,49108.779,0.4504,0.0000,0.5496
Q1,25170.778,0.9070,0.0000,0.0930
Q1,105701.978,0.9981,0.0000,0.0019
Q1,22968.205,0.9356,0.0000,0.0644
Q1,23517.387,0.9256,0.0000,0.0744
Q1,23227.494,0.9181,0.0000,0.0819
Q1,23465.528,0.9234,0.0000,0.0766
Q1,25308.926,0.8525,0.0000,0.1475
Q2,4080.004,0.7642,0.0000,0.2358
Q2,1799.243,0.7215,0.0000,0.2785
Q2,1983.778,0.7920,0.0000,0.2080
Q2,2174.274,0.6410,0.0000,0.3590
Q2,3189.616,0.4802,0.0000,0.5198
Q2,1598.931,0.8351,0.0000,0.1649
Q2,1854.165,0.7649,0.0000,0.2351
Q2,1860.088,0.8503,0.0000,0.1497
Q2,1835.609,0.8340,0.0000,0.1660
Q2,2020.973,0.7886,0.0000,0.2114
Q3,32599.336,0.0000,0.0000,1.0000
Q3,32379.755,0.0000,0.0000,1.0000
Q3,31886.285,0.0000,0.0000,1.0000
Q3,31327.638,0.0000,0.0000,1.0000
Q3,32578.828,0.0000,0.0000,1.0000
Q3,32766.315,0.0000,0.0000,1.0000
Q3,31754.237,0.0000,0.0000,1.0000
Q3,33325.970,0.0000,0.0000,1.0000
Q3,31846.667,0.0000,0.0000,1.0000
Q3,32250.554,0.0000,0.0000,1.0000
Q4,21303.789,0.8208,0.0000,0.1792
Q4,22925.058,0.4356,0.0000,0.5644
Q4,22303.520,0.6117,0.0000,0.3883
Q4,22796.440,0.4375,0.0000,0.5625
Q4,25856.145,0.3847,0.0000,0.6153
Q4,22607.168,0.4423,0.0000,0.5577
Q4,19835.386,0.5035,0.0000,0.4965
Q4,20067.584,0.6814,0.0000,0.3186
Q4,23678.624,0.5790,0.0000,0.4210
Q4,22188.239,0.6171,0.0000,0.3829
Q5,41925.553,0.0000,0.0000,1.0000
Q5,43310.843,0.0000,0.0000,1.0000
Q5,42264.291,0.0000,0.0000,1.0000
Q5,49416.952,0.0000,0.0000,1.0000
Q5,43121.287,0.0000,0.0000,1.0000
Q5,42995.995,0.0000,0.0000,1.0000
Q5,45681.762,0.0000,0.0000,1.0000
Q5,44778.618,0.0000,0.0000,1.0000
Q5,42290.266,0.0000,0.0000,1.0000
Q5,43399.237,0.0000,0.0000,1.0000
Q6,13358.160,0.4560,0.0000,0.5440
Q6,12802.982,0.4752,0.0000,0.5248
Q6,12339.374,0.4877,0.0000,0.5123
Q6,12091.312,0.4938,0.0000,0.5062
Q6,13693.954,0.9876,0.0000,0.0124
Q6,18863.300,0.9893,0.0000,0.0107
Q6,12757.397,0.6711,0.0000,0.3289
Q6,12161.531,0.5314,0.0000,0.4686
Q6,12512.879,0.6171,0.0000,0.3829
Q6,12722.117,0.6077,0.0000,0.3923
Q7,40332.272,0.0000,0.0000,1.0000
Q7,43081.588,0.0000,0.0000,1.0000
Q7,43453.438,0.0000,0.0000,1.0000
Q7,43088.503,0.0000,0.0000,1.0000
Q7,44042.588,0.0000,0.0000,1.0000
Q7,44055.235,0.0000,0.0000,1.0000
Q7,41593.872,0.0000,0.0000,1.0000
Q7,42782.306,0.0000,0.0000,1.0000
Q7,40028.545,0.0000,0.0000,1.0000
Q7,43159.667,0.0000,0.0000,1.0000
Q8,181647.691,0.0000,0.0000,1.0000
Q8,195015.615,0.0000,0.0000,1.0000
Q8,160335.526,0.0000,0.0000,1.0000
Q8,162094.699,0.0000,0.0000,1.0000
Q8,187494.280,0.0000,0.0000,1.0000
Q8,171758.830,0.0000,0.0000,1.0000
Q8,194904.466,0.0000,0.0000,1.0000
Q8,180645.112,0.0000,0.0000,1.0000
Q8,207151.575,0.0000,0.0000,1.0000
Q8,194631.997,0.0000,0.0000,1.0000
Q9,826898.193,0.0000,0.0000,1.0000
Q9,769077.421,0.0000,0.0000,1.0000
Q9,786769.271,0.0000,0.0000,1.0000
Q9,795776.802,0.0000,0.0000,1.0000
Q9,808053.315,0.0000,0.0000,1.0000
Q9,772380.855,0.0000,0.0000,1.0000
Q9,857691.757,0.0000,0.0000,1.0000
Q9,802468.642,0.0000,0.0000,1.0000
Q9,754398.270,0.0000,0.0000,1.0000
Q9,764644.641,0.0000,0.0000,1.0000
Q10,45644.957,0.0000,0.0000,1.0000
Q10,45570.237,0.0000,0.0000,1.0000
Q10,44823.508,0.0000,0.0000,1.0000
Q10,44976.726,0.0000,0.0000,1.0000
Q10,44916.016,0.0000,0.0000,1.0000
Q10,44683.314,0.0000,0.0000,1.0000
Q10,44319.186,0.0000,0.0000,1.0000
Q10,42951.992,0.0000,0.0000,1.0000
Q10,47321.400,0.0000,0.0000,1.0000
Q10,42750.511,0.0000,0.0000,1.0000
Q11,1569.091,0.4852,0.0000,0.5148
Q11,1410.273,0.4887,0.0000,0.5113
Q11,2281.067,0.3498,0.0000,0.6502
Q11,3011.709,0.2119,0.0000,0.7881
Q11,1496.098,0.4646,0.0000,0.5354
Q11,1805.473,0.4150,0.0000,0.5850
Q11,1596.762,0.4884,0.0000,0.5116
Q11,2837.514,0.2598,0.0000,0.7402
Q11,2977.953,0.2226,0.0000,0.7774
Q11,1463.611,0.5116,0.0000,0.4884
Q12,15379.791,0.3370,0.0000,0.6630
Q12,15751.850,0.3506,0.0000,0.6494
Q12,16069.418,0.3457,0.0000,0.6543
Q12,16066.342,0.3402,0.0000,0.6598
Q12,15844.590,0.3452,0.0000,0.6548
Q12,16064.959,0.3423,0.0000,0.6577
Q12,15647.105,0.3580,0.0000,0.6420
Q12,16390.721,0.3380,0.0000,0.6620
Q12,16509.354,0.3345,0.0000,0.6655
Q12,16235.958,0.3641,0.0000,0.6359
Q13,6109.819,0.9546,0.0000,0.0454
