"query","mean_total_ms","sd_total_ms","mean_prop_w1","sd_prop_w1","mean_prop_coord"
"Q1",2562.0489,373.183416630616,0.75895,0.111437867591467,0.24105
"Q10",10312.3881,2574.31970715477,0,0,1
"Q11",806.6022,743.247326618775,0.02987,0.0148547822453093,0.97013
"Q12",411.4996,149.535370033091,0.13161,0.0319021228830378,0.86839
"Q13",917.632,673.516307389971,0.32166,0.153160694116416,0.67834
"Q14",7483.2519,1468.84588435422,0,0,1
"Q15",2960.5199,1023.50012695374,0.02293,0.0145167374663409,0.97707
"Q16",2362.3448,1045.4066275547,0.03536,0.0160452277432679,0.96464
"Q17",286.5608,56.3481589717988,0.01096,0.00555701758539996,0.98904
"Q18",857.2416,385.790693324531,0.43573,0.135982368546645,0.56427
"Q19",7572.549,1437.22951308705,0,0,1
"Q2",380.6739,51.5565558595607,0.05264,0.0177041865733002,0.94736
"Q20",394.9336,81.4411348824004,0.03708,0.0104084153986623,0.96292
"Q21",1002.1455,288.900550121491,0.52341,0.132714367052788,0.47659
"Q22",914.0155,1125.85362631267,0.12692,0.0921420859325423,0.87308
"Q3",6206.7178,1491.59630807131,0,0,1
"Q4",542.0722,522.928131679424,0.11374,0.0521565634518908,0.88626
"Q5",6935.4203,1800.5707886778,0,0,1
"Q6",359.2352,162.188801601919,0.1186,0.0438698073850342,0.8814
"Q7",11747.6886,5776.69787564669,0,0,1
"Q8",28718.6431,11391.4466018109,0,0,1
"Q9",75178.5936,14292.1237759503,0,0,1
