query,total_ms,prop_w1,prop_w2,prop_coord
Q1,2147.274,0.8606,0.0000,0.1394
Q1,2713.053,0.6854,0.0000,0.3146
Q1,3445.838,0.5373,0.0000,0.4627
Q1,2691.755,0.7143,0.0000,0.2857
Q1,2190.540,0.8499,0.0000,0.1501
Q1,2322.987,0.9312,0.0000,0.0688
Q1,2450.883,0.7965,0.0000,0.2035
Q1,2596.037,0.7231,0.0000,0.2769
Q1,2689.242,0.7014,0.0000,0.2986
Q1,2372.880,0.7898,0.0000,0.2102
Q2,480.838,0.0362,0.0000,0.9638
Q2,382.492,0.0422,0.0000,0.9578
Q2,326.742,0.0469,0.0000,0.9531
Q2,326.624,0.0818,0.0000,0.9182
Q2,454.910,0.0352,0.0000,0.9648
Q2,363.702,0.0814,0.0000,0.9186
Q2,365.502,0.0681,0.0000,0.9319
Q2,401.231,0.0437,0.0000,0.9563
Q2,352.558,0.0470,0.0000,0.9530
Q2,352.140,0.0439,0.0000,0.9561
Q3,7972.588,0.0000,0.0000,1.0000
Q3,4665.216,0.0000,0.0000,1.0000
Q3,6017.237,0.0000,0.0000,1.0000
Q3,7264.949,0.0000,0.0000,1.0000
Q3,4792.891,0.0000,0.0000,1.0000
Q3,7992.477,0.0000,0.0000,1.0000
Q3,4659.866,0.0000,0.0000,1.0000
Q3,8083.308,0.0000,0.0000,1.0000
Q3,4734.590,0.0000,0.0000,1.0000
Q3,5884.056,0.0000,0.0000,1.0000
Q4,1952.255,0.0253,0.0000,0.9747
Q4,628.141,0.0832,0.0000,0.9168
Q4,748.072,0.0535,0.0000,0.9465
Q4,307.402,0.1194,0.0000,0.8806
Q4,321.171,0.1318,0.0000,0.8682
Q4,283.583,0.1292,0.0000,0.8708
Q4,369.162,0.1250,0.0000,0.8750
Q4,288.240,0.1084,0.0000,0.8916
Q4,261.026,0.1465,0.0000,0.8535
Q4,261.670,0.2151,0.0000,0.7849
Q5,5198.137,0.0000,0.0000,1.0000
Q5,9306.468,0.0000,0.0000,1.0000
Q5,5003.924,0.0000,0.0000,1.0000
Q5,8595.209,0.0000,0.0000,1.0000
Q5,5355.468,0.0000,0.0000,1.0000
Q5,8482.087,0.0000,0.0000,1.0000
Q5,5102.883,0.0000,0.0000,1.0000
Q5,8150.407,0.0000,0.0000,1.0000
Q5,5615.503,0.0000,0.0000,1.0000
Q5,8544.117,0.0000,0.0000,1.0000
Q6,807.247,0.0528,0.0000,0.9472
Q6,303.573,0.1578,0.0000,0.8422
Q6,370.184,0.0946,0.0000,0.9054
Q6,331.174,0.0940,0.0000,0.9060
Q6,308.296,0.1599,0.0000,0.8401
Q6,267.780,0.1918,0.0000,0.8082
Q6,286.163,0.1240,0.0000,0.8760
Q6,368.894,0.0979,0.0000,0.9021
Q6,299.837,0.0715,0.0000,0.9285
Q6,249.204,0.1417,0.0000,0.8583
Q7,5485.716,0.0000,0.0000,1.0000
Q7,13420.665,0.0000,0.0000,1.0000
Q7,20432.329,0.0000,0.0000,1.0000
Q7,20420.197,0.0000,0.0000,1.0000
Q7,16975.812,0.0000,0.0000,1.0000
Q7,9697.509,0.0000,0.0000,1.0000
Q7,9462.487,0.0000,0.0000,1.0000
Q7,9409.861,0.0000,0.0000,1.0000
Q7,6909.439,0.0000,0.0000,1.0000
Q7,5262.871,0.0000,0.0000,1.0000
Q8,59750.478,0.0000,0.0000,1.0000
Q8,32115.662,0.0000,0.0000,1.0000
Q8,26409.903,0.0000,0.0000,1.0000
Q8,20881.385,0.0000,0.0000,1.0000
Q8,21985.784,0.0000,0.0000,1.0000
Q8,24787.408,0.0000,0.0000,1.0000
Q8,24988.414,0.0000,0.0000,1.0000
Q8,22128.856,0.0000,0.0000,1.0000
