query,total_ms,prop_w1,prop_w2,prop_coord
Q1,46401.538,0.9956,0.0000,0.0044
Q1,124524.067,0.3952,0.0000,0.6048
Q1,50745.919,0.9980,0.0000,0.0020
Q1,59866.885,0.9962,0.0000,0.0038
Q1,65619.405,0.9969,0.0000,0.0031
Q1,45587.422,0.9957,0.0000,0.0043
Q1,51936.682,0.9973,0.0000,0.0027
Q1,53773.677,0.9961,0.0000,0.0039
Q1,56250.893,0.9964,0.0000,0.0036
Q1,55813.417,0.9965,0.0000,0.0035
Q2,2358.290,0.9235,0.0000,0.0765
Q2,589.354,0.5714,0.0000,0.4286
Q2,622.946,0.6788,0.0000,0.3212
Q2,603.187,0.6161,0.0000,0.3839
Q2,598.329,0.6726,0.0000,0.3274
Q2,598.515,0.6444,0.0000,0.3556
Q2,643.482,0.6231,0.0000,0.3769
Q2,640.026,0.6010,0.0000,0.3990
Q2,631.830,0.6239,0.0000,0.3761
Q2,632.063,0.6634,0.0000,0.3366
Q3,56083.684,0.0000,0.0000,1.0000
Q3,91744.629,0.0000,0.0000,1.0000
Q3,32648.915,0.0000,0.0000,1.0000
Q3,69891.251,0.0000,0.0000,1.0000
Q3,79171.563,0.0000,0.0000,1.0000
Q3,26234.431,0.0000,0.0000,1.0000
Q3,79468.210,0.0000,0.0000,1.0000
Q3,54707.102,0.0000,0.0000,1.0000
Q3,38302.759,0.0000,0.0000,1.0000
Q3,71037.844,0.0000,0.0000,1.0000
Q4,9072.369,0.8557,0.0000,0.1443
Q4,1616.289,0.8547,0.0000,0.1453
Q4,1665.013,0.8559,0.0000,0.1441
Q4,1800.540,0.8495,0.0000,0.1505
Q4,1785.736,0.7806,0.0000,0.2194
Q4,1777.612,0.7538,0.0000,0.2462
Q4,1772.790,0.7484,0.0000,0.2516
Q4,1770.064,0.8507,0.0000,0.1493
Q4,1771.035,0.8334,0.0000,0.1666
Q4,1761.168,0.7611,0.0000,0.2389
Q5,110446.172,0.0000,0.0000,1.0000
Q5,166556.422,0.0000,0.0000,1.0000
Q5,155763.376,0.0000,0.0000,1.0000
Q5,127830.049,0.0000,0.0000,1.0000
Q5,144881.874,0.0000,0.0000,1.0000
Q5,167737.347,0.0000,0.0000,1.0000
Q5,151460.300,0.0000,0.0000,1.0000
Q5,143138.214,0.0000,0.0000,1.0000
Q5,157328.523,0.0000,0.0000,1.0000
Q5,165890.029,0.0000,0.0000,1.0000
Q6,1406.045,0.6498,0.0000,0.3502
Q6,923.225,0.7070,0.0000,0.2930
Q6,1013.386,0.6771,0.0000,0.3229
Q6,962.168,0.6816,0.0000,0.3184
Q6,881.049,0.7746,0.0000,0.2254
Q6,927.213,0.7518,0.0000,0.2482
Q6,1010.931,0.6570,0.0000,0.3430
Q6,1029.140,0.7209,0.0000,0.2791
Q6,987.283,0.7554,0.0000,0.2446
Q6,1019.995,0.8044,0.0000,0.1956
Q7,61054.393,0.0000,0.0000,1.0000
Q7,20032.685,0.0000,0.0000,1.0000
Q7,18700.866,0.0000,0.0000,1.0000
Q7,19404.829,0.0000,0.0000,1.0000
Q7,18720.532,0.0000,0.0000,1.0000
Q7,19199.509,0.0000,0.0000,1.0000
Q7,18943.986,0.0000,0.0000,1.0000
Q7,18482.457,0.0000,0.0000,1.0000
Q7,19949.895,0.0000,0.0000,1.0000
Q7,19137.480,0.0000,0.0000,1.0000
Q8,352696.077,0.0000,0.0000,1.0000
Q8,364263.832,0.0000,0.0000,1.0000
Q8,317629.193,0.0000,0.0000,1.0000
Q8,274895.112,0.0000,0.0000,1.0000
Q8,326398.317,0.0000,0.0000,1.0000
Q8,359327.278,0.0000,0.0000,1.0000
Q8,357906.302,0.0000,0.0000,1.0000
Q8,305621.696,0.0000,0.0000,1.0000
Q8,355178.051,0.0000,0.0000,1.0000
Q8,327099.540,0.0000,0.0000,1.0000
Q9,1152409.502,0.0000,0.0000,1.0000
