query,total_ms,prop_w1,prop_w2,prop_coord
Q1,50413.187,0.9961,0.0000,0.0039
Q1,49741.990,0.9303,0.0000,0.0697
Q1,47615.935,0.9774,0.0000,0.0226
Q1,68353.443,0.9961,0.0000,0.0039
Q1,60823.983,0.8609,0.0000,0.1391
Q1,52134.588,0.9965,0.0000,0.0035
Q1,50697.413,0.8841,0.0000,0.1159
Q1,52413.735,0.9735,0.0000,0.0265
Q1,62236.029,0.7690,0.0000,0.2310
Q1,58099.551,0.9526,0.0000,0.0474
Q2,10934.698,0.9867,0.0000,0.0133
Q2,3157.734,0.8976,0.0000,0.1024
Q2,3425.398,0.8914,0.0000,0.1086
Q2,3379.652,0.9077,0.0000,0.0923
Q2,3386.806,0.9020,0.0000,0.0980
Q2,3353.399,0.9081,0.0000,0.0919
Q2,3391.963,0.9069,0.0000,0.0931
Q2,3364.948,0.9004,0.0000,0.0996
Q2,3359.125,0.9192,0.0000,0.0808
Q2,3386.595,0.8981,0.0000,0.1019
Q3,77896.404,0.0000,0.0000,1.0000
Q3,65247.068,0.0000,0.0000,1.0000
Q3,99301.101,0.0000,0.0000,1.0000
Q3,86971.853,0.0000,0.0000,1.0000
Q3,52905.581,0.0000,0.0000,1.0000
Q3,88258.401,0.0000,0.0000,1.0000
Q3,77280.195,0.0000,0.0000,1.0000
Q3,66592.009,0.0000,0.0000,1.0000
Q3,86305.997,0.0000,0.0000,1.0000
Q3,71001.491,0.0000,0.0000,1.0000
Q4,83212.517,0.9951,0.0000,0.0049
Q4,66744.721,0.6872,0.0000,0.3128
Q4,42133.784,0.9129,0.0000,0.0871
Q4,54871.016,0.7564,0.0000,0.2436
Q4,44900.571,0.9965,0.0000,0.0035
Q4,41812.578,0.9943,0.0000,0.0057
Q4,39807.140,0.9503,0.0000,0.0497
Q4,49001.304,0.9976,0.0000,0.0024
Q4,52512.271,0.6283,0.0000,0.3717
Q4,68892.002,0.7334,0.0000,0.2666
Q5,52655.962,0.0000,0.0000,1.0000
Q5,60685.485,0.0000,0.0000,1.0000
Q5,51639.721,0.0000,0.0000,1.0000
Q5,62803.755,0.0000,0.0000,1.0000
Q5,55495.958,0.0000,0.0000,1.0000
Q5,62827.738,0.0000,0.0000,1.0000
Q5,52912.198,0.0000,0.0000,1.0000
Q5,58052.236,0.0000,0.0000,1.0000
Q5,79350.703,0.0000,0.0000,1.0000
Q5,67700.743,0.0000,0.0000,1.0000
Q6,28582.698,0.9321,0.0000,0.0679
Q6,33084.199,0.9931,0.0000,0.0069
Q6,28803.677,0.9966,0.0000,0.0034
Q6,33824.744,0.9965,0.0000,0.0035
Q6,36270.755,0.9957,0.0000,0.0043
Q6,32380.906,0.9940,0.0000,0.0060
Q6,27467.252,0.9624,0.0000,0.0376
Q6,28427.631,0.9956,0.0000,0.0044
Q6,32695.671,0.9962,0.0000,0.0038
Q6,31064.783,0.9827,0.0000,0.0173
Q7,64369.836,0.0000,0.0000,1.0000
Q7,53559.224,0.0000,0.0000,1.0000
Q7,65257.234,0.0000,0.0000,1.0000
Q7,63063.689,0.0000,0.0000,1.0000
Q7,52996.759,0.0000,0.0000,1.0000
Q7,74943.599,0.0000,0.0000,1.0000
Q7,69990.777,0.0000,0.0000,1.0000
Q7,55793.219,0.0000,0.0000,1.0000
Q7,55025.386,0.0000,0.0000,1.0000
Q7,67645.991,0.0000,0.0000,1.0000
Q8,294086.502,0.0000,0.0000,1.0000
Q8,355451.575,0.0000,0.0000,1.0000
Q8,354226.120,0.0000,0.0000,1.0000
Q8,372974.127,0.0000,0.0000,1.0000
Q8,375020.662,0.0000,0.0000,1.0000
Q8,332606.776,0.0000,0.0000,1.0000
Q8,313289.037,0.0000,0.0000,1.0000
Q8,344200.614,0.0000,0.0000,1.0000
Q8,302336.166,0.0000,0.0000,1.0000
Q8,353917.580,0.0000,0.0000,1.0000
Q9,1220100.027,0.0000,0.0000,1.0000
Q9,1192237.545,0.0000,0.0000,1.0000
Q9,1128184.490,0.0000,0.0000,1.0000
Q9,1147757.409,0.0000,0.0000,1.0000
Q9,1196171.510,0.0000,0.0000,1.0000
Q9,1301569.487,0.0000,0.0000,1.0000
Q9,1306509.560,0.0000,0.0000,1.0000
Q9,1320922.205,0.0000,0.0000,1.0000
Q9,1191011.391,0.0000,0.0000,1.0000
Q9,1183645.007,0.0000,0.0000,1.0000
Q10,82722.542,0.0000,0.0000,1.0000
Q10,54388.439,0.0000,0.0000,1.0000
Q10,60987.058,0.0000,0.0000,1.0000
Q10,60241.208,0.0000,0.0000,1.0000
Q10,57909.657,0.0000,0.0000,1.0000
Q10,62819.926,0.0000,0.0000,1.0000
Q10,56570.145,0.0000,0.0000,1.0000
Q10,60954.451,0.0000,0.0000,1.0000
Q10,53432.089,0.0000,0.0000,1.0000
