Consulta	Iteracion	Tiempo	Manager	Worker1	Worker2
1	1	10275.258	107993.4567515158	490139.18239365844	464650.18693925167
1	2	10784.581	107322.68993939458	487094.8396458718	461764.1609334178
1	3	10692.158	110005.75718787944	499272.2106370185	473308.26495675324
1	4	10716.831	107993.4567515158	490139.18239365844	464650.18693925167
1	5	10677.609	107322.68993939458	487094.8396458718	461764.1609334178
1	6	10709.580	112688.8244363643	511449.5816281652	484852.3689800887
1	7	10729.387	108664.223563637	493183.5251414451	467536.2129450855
1	8	10704.345	104639.62269090972	474917.46865472506	450220.05691008235
1	9	10858.884	110005.75718787944	499272.2106370185	473308.26495675324
1	10	10727.234	105981.15631515214	481006.1541502984	455992.10892175004
1	11	10669.485	104639.62269090972	474917.46865472506	450220.05691008235
1	12	10836.715	111347.29081212188	505360.8961325919	479080.316968421
1	13	10714.887	109334.99037575822	496227.8678892318	470422.23895091936
1	14	10734.492	111347.29081212188	505360.8961325919	479080.316968421
1	15	10680.781	110676.52400000066	502316.55338480516	476194.2909625871
1	16	10706.371	107322.68993939458	487094.8396458718	461764.1609334178
1	17	10710.327	108664.223563637	493183.5251414451	467536.2129450855
1	18	10880.228	102627.32225454606	465784.440411365	441561.9788925807
1	19	10708.287	106651.92312727336	484050.4968980851	458878.1349275839
1	20	10870.129	106651.92312727336	484050.4968980851	458878.1349275839
1	21	10701.374	104639.62269090972	474917.46865472506	450220.05691008235
1	22	10691.290	104639.62269090972	474917.46865472506	450220.05691008235
1	23	10674.886	104639.62269090972	474917.46865472506	450220.05691008235
1	24	10664.705	106651.92312727336	484050.4968980851	458878.1349275839
1	25	10732.825	103298.08906666728	468828.7831591517	444448.0048984146
1	26	10668.321	106651.92312727336	484050.4968980851	458878.1349275839
1	27	10715.745	111347.29081212188	505360.8961325919	479080.316968421
1	28	10744.377	110676.52400000066	502316.55338480516	476194.2909625871
1	29	10653.205	108664.223563637	493183.5251414451	467536.2129450855
1	30	10678.238	106651.92312727336	484050.4968980851	458878.1349275839
2	1	476.779	107993.4567515158	490139.18239365844	464650.18693925167
2	2	361.992	107322.68993939458	487094.8396458718	461764.1609334178
2	3	293.836	110005.75718787944	499272.2106370185	473308.26495675324
2	4	436.540	107993.4567515158	490139.18239365844	464650.18693925167
2	5	317.705	107322.68993939458	487094.8396458718	461764.1609334178
2	6	291.681	112688.8244363643	511449.5816281652	484852.3689800887
2	7	313.732	108664.223563637	493183.5251414451	467536.2129450855
2	8	274.791	104639.62269090972	474917.46865472506	450220.05691008235
2	9	325.386	110005.75718787944	499272.2106370185	473308.26495675324
2	10	271.457	105981.15631515214	481006.1541502984	455992.10892175004
2	11	288.863	104639.62269090972	474917.46865472506	450220.05691008235
2	12	360.318	111347.29081212188	505360.8961325919	479080.316968421
2	13	440.455	109334.99037575822	496227.8678892318	470422.23895091936
2	14	353.672	111347.29081212188	505360.8961325919	479080.316968421
2	15	328.596	110676.52400000066	502316.55338480516	476194.2909625871
2	16	320.969	107322.68993939458	487094.8396458718	461764.1609334178
2	17	359.304	108664.223563637	493183.5251414451	467536.2129450855
2	18	335.808	102627.32225454606	465784.440411365	441561.9788925807
2	19	377.048	106651.92312727336	484050.4968980851	458878.1349275839
2	20	298.354	106651.92312727336	484050.4968980851	458878.1349275839
2	21	280.823	104639.62269090972	474917.46865472506	450220.05691008235
2	22	273.481	104639.62269090972	474917.46865472506	450220.05691008235
2	23	296.656	104639.62269090972	474917.46865472506	450220.05691008235
2	24	330.944	106651.92312727336	484050.4968980851	458878.1349275839
2	25	329.035	103298.08906666728	468828.7831591517	444448.0048984146
2	26	396.919	106651.92312727336	484050.4968980851	458878.1349275839
2	27	449.563	111347.29081212188	505360.8961325919	479080.316968421
2	28	312.306	110676.52400000066	502316.55338480516	476194.2909625871
2	29	286.288	108664.223563637	493183.5251414451	467536.2129450855
