"query","mean_total_ms","mean_prop_w1","mean_prop_w2","mean_prop_coord","sd_total_ms","sd_prop_w1","sd_prop_w2","sd_prop_coord"
"Q1",4710.1035,0.87739,0,0.12261,257.816917367624,0.0575984654502377,0,0.0575984654502377
"Q2",850.6271,0.06644,0,0.93356,476.235350122057,0.0534895462268615,0,0.0534895462268615
"Q3",7910.2789,0,0,1,1383.33256810256,0,0,0
"Q4",836.1378,0.22482,0,0.77518,553.142484210352,0.12363269794031,0,0.12363269794031
"Q5",8608.9827,0,0,1,1099.7022497732,0,0,0
"Q6",351.4955,0.18158,0,0.81842,76.1197823159876,0.0479984907170123,0,0.0479984907170122
"Q7",8633.71,0,0,1,685.706611594039,0,0,0
"Q8",39400.1201,0,0,1,1539.8469428068,0,0,0
"Q9",104480.4067,0,0,1,4470.27203458902,0,0,0
"Q10",9373.7278,0,0,1,1112.90334849705,0,0,0
"Q11",445.046,0.0834,0,0.9166,67.5030709408427,0.0325044270489079,0,0.0325044270489079
"Q12",755.9807,0.23844,0,0.76156,492.129249412534,0.128614023773114,0,0.128614023773114
"Q13",1032.7712,0.59505,0,0.40495,474.060136070379,0.178102032242445,0,0.178102032242445
"Q14",6761.6738,0,0,1,1468.02835220243,0,0,0
"Q15",5094.7827,0.02145,0,0.97855,1392.90893164789,0.0059078572915887,0,0.00590785729158872
"Q16",4055.2241,0.02792,0,0.97208,977.469134706275,0.00884845246984528,0,0.0088484524698453
"Q17",707.0823,0.01234,0,0.98766,612.497537762135,0.0108357638299189,0,0.0108357638299188
"Q18",874.966,0.54114,0,0.45886,294.989673831701,0.125384175857863,0,0.125384175857863
"Q19",9084.3751,0,0,1,1320.19055528716,0,0,0
"Q20",546.1168,0.04776,0,0.95224,104.326156183172,0.0184637302117783,0,0.0184637302117783
"Q21",1372.0474,0.65248,0,0.34752,264.216961941507,0.114721235077808,0,0.114721235077808
"Q22",966.9079,0.20344,0,0.79656,837.464957311906,0.0957737403119108,0,0.0957737403119108
